Group,weeks,,,sample number,,cyr61ddct,cyr61lin
SHAM,1wk,,,197,,-0.166666667,1.122462048
SHAM,1wk,,,227,,-0.061666667,1.04367076
SHAM,1wk,,,199,,0.228333333,0.853620463
STC,1wk,,,201,,-1.796666667,3.474165945
STC,1wk,,,200,,-0.701666667,1.626382579
STC,1wk,,,206,,-0.606666667,1.522736872
STC,1wk,,,228,,0.653333333,0.635809583
Incision,1wk,,,224,,-1.601666667,
Incision,1wk,,,231,,0.268333333,0.830278167
Incision,1wk,,,223,,1.428333333,0.371559888
Incision,1wk,,,198,,1.813333333,0.284532759
PBO,7wk,,,65,,-2.556666667,5.883467457
PBO,7wk,,,58,,-2.211666667,4.632100859
PBO,7wk,,,62,,-2.081666667,4.232959445
PBO,7wk,,,63,,-1.716666667,3.286761258
PBO,7wk,,,214,,-1.186666667,2.276262069
PBO,7wk,,,64,,-0.036666667,1.025741121
SHAM,7wk,,,220,,-0.066666667,1.047294123
SHAM,7wk,,,202,,0.028333333,0.980552422
SHAM,7wk,,,229,,0.268333333,0.830278167
SHAM,7wk,,,194,,0.883333333,0.542113435
SHAM,7wk,,,203,,0.928333333,0.525465032
STC,7wk,,,215,,-2.356666667,5.121855909
STC,7wk,,,207,,-2.226666667,4.680513013
STC,7wk,,,210,,-0.331666667,1.258466372
STC,7wk,,,219,,-0.296666667,1.228303149
STC,7wk,,,193,,0.588333333,0.66511083
Incision,7wk,,,222,,-2.126666667,
Incision,7wk,,,221,,-0.101666667,1.073012339
Incision,7wk,,,195,,0.138333333,0.908568168
Incision,7wk,,,208,,0.213333333,0.862542032
Incision,7wk,,,226,,4.323333333,0.049951322
PBO,1wk,,,placeholder,,,
PBO,1wk,,,placeholder2,,,